year,group,rli,qn_95,qn_05,n,group_sample_sizes
1989,Amphibian,0.7569856291349394,0.7588400324553739,0.7555224066908002,40,"{""Amphibian"",8011}"
1990,Amphibian,0.7561168497482628,0.7579879748678899,0.7546502725419215,40,"{""Amphibian"",8011}"
1991,Amphibian,0.7552480703615861,0.7571359172804061,0.7537781383930429,40,"{""Amphibian"",8011}"
1992,Amphibian,0.7543792909749094,0.7562838596929222,0.7529060042441642,40,"{""Amphibian"",8011}"
1993,Amphibian,0.7535105115882328,0.7554318021054384,0.7520338700952857,40,"{""Amphibian"",8011}"
1994,Amphibian,0.7526417322015562,0.7545797445179545,0.751161735946407,40,"{""Amphibian"",8011}"
1995,Amphibian,0.7517729528148795,0.7537276869304705,0.7502896017975283,40,"{""Amphibian"",8011}"
1996,Amphibian,0.7509041734282028,0.7528756293429867,0.7494174676486498,40,"{""Amphibian"",8011}"
1997,Amphibian,0.7500353940415262,0.7520235717555028,0.7485453334997711,40,"{""Amphibian"",8011}"
1998,Amphibian,0.7491666146548496,0.751171514168019,0.7476731993508925,40,"{""Amphibian"",8011}"
1999,Amphibian,0.7482978352681728,0.7503194565805351,0.746801065202014,40,"{""Amphibian"",8011}"
2000,Amphibian,0.7474290558814962,0.7494673989930513,0.7459289310531353,40,"{""Amphibian"",8011}"
2001,Amphibian,0.7465602764948196,0.7486153414055674,0.7450567969042566,40,"{""Amphibian"",8011}"
2002,Amphibian,0.745691497108143,0.7477632838180834,0.744184662755378,40,"{""Amphibian"",8011}"
2003,Amphibian,0.7448227177214662,0.7469112262305996,0.7433125286064994,40,"{""Amphibian"",8011}"
2004,Amphibian,0.7439539383347896,0.7460591686431157,0.7424403944576208,40,"{""Amphibian"",8011}"
2005,Amphibian,0.7434177658497344,0.7454826003134579,0.7419040485998419,40,"{""Amphibian"",8011}"
2006,Amphibian,0.7428815933646791,0.7449060319838,0.741367702742063,40,"{""Amphibian"",8011}"
2007,Amphibian,0.7423454208796239,0.7443294636541422,0.7408313568842841,40,"{""Amphibian"",8011}"
2008,Amphibian,0.7418092483945685,0.7437528953244844,0.7402950110265052,40,"{""Amphibian"",8011}"
2009,Amphibian,0.7412730759095133,0.7431763269948265,0.7397586651687263,40,"{""Amphibian"",8011}"
2010,Amphibian,0.740736903424458,0.7425997586651687,0.7392223193109474,40,"{""Amphibian"",8011}"
2011,Amphibian,0.7402007309394028,0.7420231903355109,0.7386859734531686,40,"{""Amphibian"",8011}"
2012,Amphibian,0.7396645584543474,0.741446622005853,0.7381496275953896,40,"{""Amphibian"",8011}"
2013,Amphibian,0.7391283859692922,0.7408700536761952,0.7376132817376108,40,"{""Amphibian"",8011}"
2014,Amphibian,0.738592213484237,0.7402934853465374,0.7370769358798319,40,"{""Amphibian"",8011}"
2015,Amphibian,0.7380560409991817,0.7397169170168795,0.736540590022053,40,"{""Amphibian"",8011}"
2016,Amphibian,0.7375198685141264,0.7391403486872217,0.7360042441642741,40,"{""Amphibian"",8011}"
2017,Amphibian,0.7369836960290711,0.7385637803575639,0.7354678983064952,40,"{""Amphibian"",8011}"
2018,Amphibian,0.7364475235440159,0.737987212027906,0.7349315524487163,40,"{""Amphibian"",8011}"
2019,Amphibian,0.7359113510589606,0.7374106436982482,0.7343952065909374,40,"{""Amphibian"",8011}"
2020,Amphibian,0.7353751785739053,0.7368340753685904,0.7338588607331585,40,"{""Amphibian"",8011}"
2021,Amphibian,0.73483900608885,0.7362575070389324,0.7333225148753796,40,"{""Amphibian"",8011}"
2022,Amphibian,0.7343028336037948,0.7356809387092746,0.7327861690176007,40,"{""Amphibian"",8011}"
2003,Cycad,0.5776832844574781,0.580058651026393,0.5759237536656892,40,"{""Cycad"",341}"
2004,Cycad,0.5762716608904292,0.5786217008797654,0.5744308184484138,40,"{""Cycad"",341}"
2005,Cycad,0.5748600373233805,0.5771847507331378,0.5729378832311384,40,"{""Cycad"",341}"
2006,Cycad,0.5734484137563317,0.5757478005865103,0.571444948013863,40,"{""Cycad"",341}"
2007,Cycad,0.5720367901892829,0.5743108504398827,0.5699520127965876,40,"{""Cycad"",341}"
2008,Cycad,0.5706251666222342,0.5728739002932551,0.5684590775793122,40,"{""Cycad"",341}"
2009,Cycad,0.5692135430551853,0.5714369501466275,0.5669661423620368,40,"{""Cycad"",341}"
2010,Cycad,0.5678019194881366,0.57,0.5654732071447615,40,"{""Cycad"",341}"
2011,Cycad,0.5663902959210878,0.5685630498533724,0.563980271927486,40,"{""Cycad"",341}"
2012,Cycad,0.564978672354039,0.5671260997067449,0.5624873367102107,40,"{""Cycad"",341}"
2013,Cycad,0.5635670487869903,0.5656891495601173,0.5609944014929352,40,"{""Cycad"",341}"
2014,Cycad,0.5621554252199414,0.5642521994134897,0.5595014662756599,40,"{""Cycad"",341}"
1996,Coral,0.9769917257683215,0.9787234042553191,0.9749172576832151,40,"{""Coral"",846}"
1997,Coral,0.9629659180457053,0.9648542159180457,0.9608136327817179,40,"{""Coral"",846}"
1998,Coral,0.948940110323089,0.9509850275807723,0.9467100078802206,40,"{""Coral"",846}"
1999,Coral,0.9349143026004728,0.9371158392434988,0.9326063829787234,40,"{""Coral"",846}"
2000,Coral,0.9208884948778566,0.9232466509062254,0.9185027580772261,40,"{""Coral"",846}"
2001,Coral,0.9068626871552403,0.9093774625689519,0.904399133175729,40,"{""Coral"",846}"
2002,Coral,0.8928368794326241,0.8955082742316784,0.8902955082742317,40,"{""Coral"",846}"
2003,Coral,0.8788110717100079,0.8816390858944051,0.8761918833727345,40,"{""Coral"",846}"
2004,Coral,0.8647852639873916,0.8677698975571316,0.8620882584712373,40,"{""Coral"",846}"
2005,Coral,0.8507594562647754,0.8539007092198582,0.84798463356974,40,"{""Coral"",846}"
2006,Coral,0.8367336485421593,0.8400315208825848,0.8338810086682428,40,"{""Coral"",846}"
2007,Coral,0.822707840819543,0.8261623325453114,0.8197773837667455,40,"{""Coral"",846}"
2008,Coral,0.8086820330969268,0.8122931442080379,0.8056737588652483,40,"{""Coral"",846}"
1988,Bird,0.9119237295704206,0.9120666249888363,0.9117254621773689,40,"{""Bird"",11197}"
1989,Bird,0.9118580869875859,0.9120069363817689,0.9116659224196958,40,"{""Bird"",11197}"
1990,Bird,0.9117924444047513,0.9119472477747016,0.9116063826620225,40,"{""Bird"",11197}"
1991,Bird,0.9117268018219166,0.9118875591676342,0.9115468429043494,40,"{""Bird"",11197}"
1992,Bird,0.9116611592390819,0.9118278705605668,0.9114873031466763,40,"{""Bird"",11197}"
1993,Bird,0.9115955166562473,0.9117681819534995,0.911427763389003,40,"{""Bird"",11197}"
1994,Bird,0.9115298740734126,0.9117084933464321,0.9113682236313299,40,"{""Bird"",11197}"
1995,Bird,0.9111312553957905,0.9113098746688101,0.9109661814176416,40,"{""Bird"",11197}"
1996,Bird,0.9107326367181686,0.9109112559911882,0.9105641392039535,40,"{""Bird"",11197}"
1997,Bird,0.9103340180405466,0.9105126373135661,0.9101620969902653,40,"{""Bird"",11197}"
1998,Bird,0.9099353993629246,0.9101140186359441,0.9097600547765771,40,"{""Bird"",11197}"
1999,Bird,0.9095367806853026,0.9097153999583222,0.909358012562889,40,"{""Bird"",11197}"
2000,Bird,0.9091381620076806,0.9093167812807001,0.9089559703492007,40,"{""Bird"",11197}"
2001,Bird,0.9090052022863266,0.9091825935518443,0.9088177636867019,40,"{""Bird"",11197}"
2002,Bird,0.9088722425649728,0.9090484058229883,0.908679557024203,40,"{""Bird"",11197}"
2003,Bird,0.9087392828436189,0.9089142180941323,0.908541350361704,40,"{""Bird"",11197}"
2004,Bird,0.908606323122265,0.9087800303652764,0.9084031436992052,40,"{""Bird"",11197}"
2005,Bird,0.9082994328838083,0.9084719121193177,0.9080948021791552,40,"{""Bird"",11197}"
2006,Bird,0.9079925426453516,0.9081637938733589,0.9077864606591051,40,"{""Bird"",11197}"
2007,Bird,0.9076856524068948,0.9078556756274002,0.9074781191390551,40,"{""Bird"",11197}"
2008,Bird,0.9073787621684382,0.9075475573814414,0.9071697776190051,40,"{""Bird"",11197}"
2009,Bird,0.9071429847280523,0.9073155756006073,0.9069424845940877,40,"{""Bird"",11197}"
2010,Bird,0.9069072072876665,0.9070835938197732,0.9067151915691702,40,"{""Bird"",11197}"
2011,Bird,0.9066714298472807,0.906851612038939,0.9064878985442529,40,"{""Bird"",11197}"
2012,Bird,0.9064356524068948,0.9066196302581049,0.9062606055193355,40,"{""Bird"",11197}"
2013,Bird,0.9062094757524337,0.9063965794409217,0.9060016075734572,40,"{""Bird"",11197}"
2014,Bird,0.9059832990979727,0.9061735286237385,0.9057426096275788,40,"{""Bird"",11197}"
2015,Bird,0.9057571224435117,0.9059504778065554,0.9054836116817004,40,"{""Bird"",11197}"
2016,Bird,0.9055309457890506,0.9057274269893721,0.9052246137358221,40,"{""Bird"",11197}"
2017,Bird,0.9052454898633562,0.9054322586407073,0.9049685183531303,40,"{""Bird"",11197}"
2018,Bird,0.9049600339376618,0.9051370902920425,0.9047124229704385,40,"{""Bird"",11197}"
2019,Bird,0.9046745780119675,0.9048419219433776,0.9044563275877467,40,"{""Bird"",11197}"
2020,Bird,0.9043891220862731,0.9045467535947128,0.904200232205055,40,"{""Bird"",11197}"
2021,Bird,0.9043824238635348,0.9045378226310619,0.9041966598195945,40,"{""Bird"",11197}"
2022,Bird,0.9043757256407966,0.9045288916674108,0.9041930874341342,40,"{""Bird"",11197}"
2023,Bird,0.9043690274180584,0.9045199607037598,0.9041895150486738,40,"{""Bird"",11197}"
2024,Bird,0.9043623291953201,0.9045110297401089,0.9041859426632134,40,"{""Bird"",11197}"
1980,Aggregate,0.8289471345562063,,,,
1981,Aggregate,0.828367891817075,,,,
1982,Aggregate,0.8277886490779437,,,,
1983,Aggregate,0.8272094063388126,,,,
1984,Aggregate,0.8266301635996814,,,,
1985,Aggregate,0.8260509208605503,,,,
1986,Aggregate,0.8254716781214192,,,,
1987,Aggregate,0.824892435382288,,,,
1988,Aggregate,0.8243131926431568,,,,
1989,Aggregate,0.8225855316844157,,,,
1990,Aggregate,0.8199166115930805,,,,
1991,Aggregate,0.8172476915017448,,,,
1992,Aggregate,0.8145787714104096,,,,
1993,Aggregate,0.8119098513190744,,,,
1994,Aggregate,0.8092409312277387,,,,
1995,Aggregate,0.8065720111364033,,,,
1996,Aggregate,0.8039030910450677,,,,
1997,Aggregate,0.8012341709537324,,,,
1998,Aggregate,0.7985652508623965,,,,
1999,Aggregate,0.7958963307710614,,,,
2000,Aggregate,0.7932274106797256,,,,
2001,Aggregate,0.7905584905883905,,,,
2002,Aggregate,0.7878895704970545,,,,
2003,Aggregate,0.7852206504057194,,,,
2004,Aggregate,0.7825517303143835,,,,
2005,Aggregate,0.7798828102230484,,,,
2006,Aggregate,0.7772138901317125,,,,
2007,Aggregate,0.7745449700403773,,,,
2008,Aggregate,0.7718760499490415,,,,
2009,Aggregate,0.7692071298577063,,,,
2010,Aggregate,0.7665382097663705,,,,
2011,Aggregate,0.7638692896750354,,,,
2012,Aggregate,0.7612003695836995,,,,
2013,Aggregate,0.7585314494923644,,,,
2014,Aggregate,0.7558625294010284,,,,
2015,Aggregate,0.7531936093096933,,,,
2016,Aggregate,0.7505246892183575,,,,
2017,Aggregate,0.7478557691270222,,,,
2018,Aggregate,0.7451868490356864,,,,
2019,Aggregate,0.7425179289443513,,,,
2020,Aggregate,0.7398490088530154,,,,
2021,Aggregate,0.7371800887616803,,,,
2022,Aggregate,0.734511168670345,,,,
2023,Aggregate,0.7318422485790093,,,,
2024,Aggregate,0.7291733284876741,,,,
